name,material,type_wood,processing,size,sort,price,unit,img
Подоконники Ступени,Лиственница,Сибирская (Ангарская),,"40х200х1.5/1.8/2/2.2/2.4м
40х250х2.4м
40х300х1/1.1/1.2/1.4/1.5/2/2.2/2.4/2.5/3м
40х400х2м
40х420х2.5/2.9м
40х600х2/2.1/2.3/2.5/3м",,4,кв.м,
Подоконники Ступени,Сосна,Сибирская (Ангарская),,"40х200х1.5/2/2.2/2.4м
40х300х1.5/2.2м
40х400х1.5/2.1/2.5м",,2.5,кв.м,
Подступени,Лиственница,Сибирская (Ангарская),,"20х200х1/1.5/2м
20х300х1/1.5/2м",,1.8,кв.м,
Потолок,Кедр,Алтайский,,40х90-140х2-3,,500,пог.м,
Потолок,Кедр,Алтайский,,20х20-100х2-3м,,300,пог.м,
Потолок,Кедр,Сибирская (Ангарская),,30х60х2м (60мм),,160,пог.м,
Потолок,Кедр,Сибирская (Ангарская),,"30х100/115х2.4м
32х112х2.4м
35х120х2.4м
(100мм, 112мм, 115мм)",,300,пог.м,
Потолок,Абаш,,,27х90х2-3м,,300,пог.м,
Стеновая панель,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,21х88/135х1.5/1.8/2.4м,0,2.1,кв.м,
Стеновая панель,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,21х88/135х1.5/1.8/2.4м,1,1.9,кв.м,
Стеновая панель,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,21х88/135х1.5/1.8/2.4м,2,1.7,кв.м,
Стеновая панель,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,21х88/135х1.5/1.8/2.4м,3,1.5,кв.м,
Уголок внутренний,Сосна,Сибирская (Ангарская),,20х20х3м,0,45,пог.м,
Уголок внутренний,Лиственница,Сибирская (Ангарская),,21х21х3м,0,100,пог.м,
Уголок наружный,Сосна,Сибирская (Ангарская),,30х30х3м,0,50,пог.м,
Уголок наружный,Сосна,Сибирская (Ангарская),,40х40х3м,0,60,пог.м,
Уголок наружный,Сосна,Сибирская (Ангарская),,50х50х3м,0,80,пог.м,
Уголок наружный,Сосна,Сибирская (Ангарская),,70х70х3,0,90,пог.м,
Уголок наружный,Лиственница,Сибирская (Ангарская),,30х30х3-4м,0,120,пог.м,
Фальцовка четверть,Сосна,Сибирская (Ангарская),,16х80х4м,2,300,кв.м,
Черенки,Сосна,Сибирская (Ангарская),,32х2 м,,150,шт,
Штапик,Сосна,Сибирская (Ангарская),,10х10х2м,,10,пог.м,
